127 22; 192 51
192 51; 287 126
287 126; 348 155
348 155; 354 184
354 184; 297 228
297 228; 279 278
279 278; 308 324
308 324; 282 318
282 318; 297 360
297 360; 254 337
254 337; 240 353
240 353; 296 374
296 374; 238 380
238 380; 291 410
291 410; 179 412
179 412; 120 365
120 365; 113 312
113 312; 75 309
75 309; 68 261
68 261; 95 255
95 255; 113 273
113 273; 224 215
224 215; 215 158
215 158; 109 130
109 130; 66 83
66 83; 129 90
129 90; 187 103
187 103; 138 77
138 77; 128 23
